question_id,question_body,question_type,wiki_context,completion,query,improved_query,relevant_articles,filtered_articles,documents,snippets,precision,recall,f1_score
6402c910201352f04a00000c,Can losartan reduce brain atrophy in Alzheimer's disease?,yesno,,"Here is my attempt at an Elasticsearch query string for the question ""Can losartan reduce brain atrophy in Alzheimer's disease?"":

##
(losartan AND (""brain atrophy"" OR ""cerebral atrophy"" OR ""brain volume loss"" OR ""brain shrinkage"") AND (""alzheimer's disease"" OR ""alzheimer disease"" OR ""alzheimer's"" OR ""alzheimers"" OR AD)) AND (reduce OR reduces OR reduction OR decrease OR decreases OR prevent OR prevents OR prevention OR slow OR slows)
##

The key components are:
1. Losartan: the main drug mentioned in the question
2. Brain atrophy and its synonyms: ""cerebral atrophy"", ""brain volume loss"", ""brain shrinkage""
3. Alzheimer's disease and its variants: ""alzheimer disease"", ""alzheimer's"", ""alzheimers"", AD
4. Terms related to reduction: reduce, reduces, reduction, decrease, decreases, prevent, prevents, prevention, slow, slows

The query requires all three main concepts (losartan, brain atrophy, Alzheimer's) to be present, while allowing for variations in terminology. It also includes terms related to the potential effect of reduction or slowing of atrophy.

The query aims to balance precision by focusing on the key entities, while improving recall through the use of synonyms and related terms. The parentheses and AND operators help to enforce the required relationships between the concepts.","{'query': {'query_string': {'query': '(losartan AND (""brain atrophy"" OR ""cerebral atrophy"" OR ""brain volume loss"" OR ""brain shrinkage"") AND (""alzheimer\'s disease"" OR ""alzheimer disease"" OR ""alzheimer\'s"" OR ""alzheimers"" OR AD)) AND (reduce OR reduces OR reduction OR decrease OR decreases OR prevent OR prevents OR prevention OR slow OR slows)'}}, 'size': 50}",,"['34687634', '29226862']",[],[],[],0.5,1.0,0.6666666666666666
640f857d201352f04a00002b,What is CHARMS with respect to medical review of predictive modeling?,factoid,,"Here is my attempt at an Elasticsearch query string for the question ""What is CHARMS with respect to medical review of predictive modeling?"":

##
(""CHARMS"" OR ""CHecklist for critical Appraisal and data extraction for systematic Reviews of prediction Modelling Studies"") AND (""medical review"" OR ""critical appraisal"" OR ""systematic review"" OR ""evaluation"") AND (""predictive modeling"" OR ""prediction modeling"" OR ""prediction model"" OR ""predictive model"" OR ""risk prediction"")
##

The key components are:

1. CHARMS: This is the main entity in the question. I included the full name ""CHecklist for critical Appraisal and data extraction for systematic Reviews of prediction Modelling Studies"" in case it is spelled out in some documents.

2. Medical review, critical appraisal, systematic review, evaluation: These terms relate to the concept of reviewing or evaluating something in a medical context.

3. Predictive modeling, prediction modeling, prediction model, predictive model, risk prediction: These are synonyms and related terms for the concept of predictive modeling.

The query uses the AND operator to require all three main concepts - CHARMS, medical review, and predictive modeling. Within each concept, synonyms are connected with OR to capture variations in terminology.

The query aims to find documents that specifically discuss what CHARMS is in the context of reviewing predictive models in medicine. It balances precision by focusing on the key concepts, while improving recall through the use of synonyms and related terms.","{'query': {'query_string': {'query': '(""CHARMS"" OR ""CHecklist for critical Appraisal and data extraction for systematic Reviews of prediction Modelling Studies"") AND (""medical review"" OR ""critical appraisal"" OR ""systematic review"" OR ""evaluation"") AND (""predictive modeling"" OR ""prediction modeling"" OR ""prediction model"" OR ""predictive model"" OR ""risk prediction"")'}}, 'size': 50}",,"['31762119', '34663532', '37084958', '38096619', '32684355', '33364802', '31093535', '35633976', '35642331', '29942125', '36805926', '36964445', '31402266', '33257987', '37536503', '36934895', '34011595', '35067242', '34413828', '33354672', '36381375', '31439598', '34886852', '36780568', '35321760', '34853112', '32978532', '32327446', '34528893', '37423201', '37770261', '35395724', '30663837', '36623780', '37085296', '31090660', '30017559', '37898606', '27768612', '35908226', '31441567', '31036306', '36877519', '32583899', '35398812', '35292503', '33077558', '34548347', '37590196', '37429690']",[],[],[],0.3,0.15789473684210525,0.20689655172413793
6410eb95201352f04a00002e,Which splicing factors have been associated with alternative splicing in PLN R14del hearts?,list,,"Here is my attempt at an Elasticsearch query string for the question ""Which splicing factors have been associated with alternative splicing in PLN R14del hearts?"":

##
(""splicing factors"" OR ""spliceosome proteins"" OR ""splicing regulatory proteins"") AND 
(""alternative splicing"" OR ""differential splicing"" OR ""aberrant splicing"") AND
(""PLN R14del"" OR ""phospholamban R14del"" OR ""PLN Arg14del"" OR ""PLN-R14del"" OR ""phospholamban Arg14del mutation"") AND
(heart OR hearts OR cardiac OR myocardial OR cardiomyocytes)
##

The key components are:
1. Splicing factors and related terms like spliceosome proteins and splicing regulatory proteins
2. Alternative splicing and synonyms like differential or aberrant splicing 
3. The specific PLN R14del mutation, including various ways it may be written
4. Terms related to the heart/cardiac tissue context

The query aims to find documents that mention splicing factors in connection with alternative splicing events specifically in the context of hearts with the PLN R14del mutation. The synonyms and related terms help capture variations in terminology while still keeping the query focused on the key entities and concepts.

The AND operators ensure all the main components are present, which is important for the precision of the results given the specificity of the question. Let me know if you would like me to modify or expand the query further.","{'query': {'query_string': {'query': '(""splicing factors"" OR ""spliceosome proteins"" OR ""splicing regulatory proteins"") AND (""alternative splicing"" OR ""differential splicing"" OR ""aberrant splicing"") AND(""PLN R14del"" OR ""phospholamban R14del"" OR ""PLN Arg14del"" OR ""PLN-R14del"" OR ""phospholamban Arg14del mutation"") AND(heart OR hearts OR cardiac OR myocardial OR cardiomyocytes)'}}, 'size': 50}",,[],[],[],[],0.0,0.0,0.0
64162fb0690f196b5100001a,What are the most common mutation types in Duchenne muscular Dystrophy?,list,,"Here is my attempt at an Elasticsearch query string for the question ""What are the most common mutation types in Duchenne muscular Dystrophy?"":

##
(""duchenne muscular dystrophy"" OR DMD) AND (""mutation types"" OR ""mutation patterns"" OR ""genetic mutations"" OR variants OR ""genetic variants"") AND (common OR ""most common"" OR frequent OR ""most frequent"" OR prevalent OR ""most prevalent"") AND (""dystrophin gene"" OR DMD)
##

The key components are:
1. ""Duchenne muscular dystrophy"" and its abbreviation DMD
2. Phrases related to types of mutations like ""mutation types"", ""mutation patterns"", ""genetic mutations"", variants
3. Terms emphasizing commonality like common, ""most common"", frequent, prevalent 
4. ""dystrophin gene"" and its symbol DMD, since mutations in this gene cause Duchenne muscular dystrophy

The query aims to find documents that discuss the most common or frequent types of mutations in the dystrophin gene that lead to Duchenne muscular dystrophy. It includes synonyms and related terms to capture variations in phrasing while still maintaining a focus on the key concepts of DMD, mutation types, and commonality.

The AND operators ensure all the main concepts are present, while the OR operators allow for flexibility in terminology. The query is relatively targeted, but the inclusion of related terms should help improve recall without sacrificing too much precision.","{'query': {'query_string': {'query': '(""duchenne muscular dystrophy"" OR DMD) AND (""mutation types"" OR ""mutation patterns"" OR ""genetic mutations"" OR variants OR ""genetic variants"") AND (common OR ""most common"" OR frequent OR ""most frequent"" OR prevalent OR ""most prevalent"") AND (""dystrophin gene"" OR DMD)'}}, 'size': 50}",,"['35064276', '29578119', '23620649', '32436198', '36845278', '33540285', '17141273', '33741226', '29973226', '36152336', '32358784', '37289342', '31139960', '35218518', '18957722', '28116794', '22650324', '37766830', '34629887', '35501714', '28332368', '34628793', '30938079', '31379145', '37861890', '30225627', '33777091', '36721834', '33599058', '17314512', '30254196', '32543101', '33843695', '11426463', '31381525', '35289675', '27745838', '16716778', '26284620', '32686699', '37254189', '15643612', '32791185', '30014611', '9524268', '31412794', '24225992', '33610829', '12622396', '36419457']",[],[],[],0.3,0.5,0.37499999999999994
63eef3ebf36125a42600000a,What is the target of Litifilimab?,factoid,,"Here is my attempt at an Elasticsearch query string for the question ""What is the target of Litifilimab?"":

##
(Litifilimab OR BIIB059 OR ""anti-BDCA2"") AND (target OR targets OR targeting OR binds OR binding) AND (""BDCA-2"" OR ""BDCA2"" OR ""CD303"" OR ""CLEC4C"" OR ""C-type lectin domain family 4 member C"")
##

The key components are:

1. Litifilimab and its synonyms/alternate names (BIIB059, anti-BDCA2). This ensures we find documents specifically about this drug.

2. General terms related to drug targets (target, targets, targeting, binds, binding). This captures the concept of what the drug acts upon.

3. The specific known target of Litifilimab, BDCA-2, and its various synonyms (CD303, CLEC4C, C-type lectin domain family 4 member C). Including these synonyms improves recall by accounting for different ways the target may be referred to.

The query aims to find documents that mention Litifilimab along with language indicating its biological target, specifically honing in on BDCA-2 and its synonyms. The AND operators ensure all key concepts are present.

Let me know if you would like me to modify or expand the query further. I tried to focus on the most relevant terms while still allowing for some variability in how the drug and target may be mentioned.","{'query': {'query_string': {'query': '(Litifilimab OR BIIB059 OR ""anti-BDCA2"") AND (target OR targets OR targeting OR binds OR binding) AND (""BDCA-2"" OR ""BDCA2"" OR ""CD303"" OR ""CLEC4C"" OR ""C-type lectin domain family 4 member C"")'}}, 'size': 50}",,"['36069871', '32335844', '37148249', '30645203', '30377889', '37184875', '37877249', '25762615', '24829416', '30776023']",[],[],[],0.1,0.5,0.16666666666666669
64136fbf201352f04a00003d,What is AUROC in context of predictive modeling?,factoid,,"Here is my attempt at an Elasticsearch query string for the question ""What is AUROC in context of predictive modeling?"":

##
(""AUROC"" OR ""area under the receiver operating characteristic curve""~5 OR ""AUC-ROC"" OR ""area under the ROC curve""~5) AND (""predictive modeling"" OR ""predictive model"" OR ""prediction model"" OR ""machine learning model"" OR ""statistical model"") AND (definition OR meaning OR interpretation OR metric OR measure OR ""performance evaluation"" OR ""model evaluation"")
##

The key components are:

1. AUROC and its synonyms/related terms:
   - Exact match for ""AUROC""
   - Proximity match for ""area under the receiver operating characteristic curve"" allowing for some word variation
   - Exact match for ""AUC-ROC"" acronym
   - Proximity match for ""area under the ROC curve"" allowing for some word variation

2. Predictive modeling context:
   - ""predictive modeling"" and its variants like ""predictive model"", ""prediction model""
   - Related terms like ""machine learning model"" and ""statistical model""

3. Terms related to defining or explaining a concept:
   - definition, meaning, interpretation
   - metric, measure, ""performance evaluation"", ""model evaluation""

The query aims to find documents that mention AUROC or its synonyms specifically in the context of predictive modeling, and that provide a definition, interpretation, or explanation of the term. The proximity matches allow for some flexibility in phrasing while still maintaining relevance.","{'query': {'query_string': {'query': '(""AUROC"" OR ""area under the receiver operating characteristic curve""~5 OR ""AUC-ROC"" OR ""area under the ROC curve""~5) AND (""predictive modeling"" OR ""predictive model"" OR ""prediction model"" OR ""machine learning model"" OR ""statistical model"") AND (definition OR meaning OR interpretation OR metric OR measure OR ""performance evaluation"" OR ""model evaluation"")'}}, 'size': 50}",,"['31967640', '37259715', '37410777', '37478157', '33107830', '33019212', '37419761', '35834893', '36719788', '36276886', '36385607', '34526544', '37710210', '37408729', '36805232', '32838752', '17238378', '36153409', '34916699', '34145862', '35959132', '24608868', '35177692', '37576311', '37259173', '37657148', '37261539', '21814106', '17569110', '36544119', '32638010', '34932043', '35671743', '35578254', '29792141', '37981529', '36824494', '25891755', '37522430', '33016491', '32488759', '32894241', '29153662', '31420617', '32298292', '31323204', '17876750', '36581881', '36263637', '29023230']",[],[],[],0.1,0.03333333333333333,0.05
63fa13da201352f04a000001,Is PRP-40 regulation of microexons a conserved phenomenon?,yesno,,"Here is my attempt at an Elasticsearch query string for the question ""Is PRP-40 regulation of microexons a conserved phenomenon?"":

##
(""PRP-40"" OR ""PRP 40"" OR ""pre-mRNA processing factor 40"") AND (regulat* OR control* OR modulat*) AND (microexon OR ""micro-exon"" OR ""micro exon"") AND (conserved OR preservation OR ""evolutionary conservation""~2 OR ""evolutionarily conserved"" OR ""cross-species"" OR ""across species"")
##

The key components are:
1. PRP-40 and its synonyms
2. Regulation and related terms like control and modulate, using wildcards to capture variations
3. Microexon and its variant forms
4. Conservation and related concepts like preservation, evolutionary conservation, cross-species

The query aims to find documents that mention PRP-40's regulation of microexons along with language about conservation or preservation across species/evolution. The fuzzy operator ~2 allows for some variability in the phrase ""evolutionary conservation"".

By focusing on the key entities and concepts while allowing for some terminology variation, the query tries to balance precision and recall. The AND operators ensure all main components are present.

Let me know if you would like me to modify or expand the query further based on your specific needs or domain knowledge.","{'query': {'query_string': {'query': '(""PRP-40"" OR ""PRP 40"" OR ""pre-mRNA processing factor 40"") AND (regulat* OR control* OR modulat*) AND (microexon OR ""micro-exon"" OR ""micro exon"") AND (conserved OR preservation OR ""evolutionary conservation""~2 OR ""evolutionarily conserved"" OR ""cross-species"" OR ""across species"")'}}, 'size': 50}",,[],[],[],[],0.0,0.0,0.0
64178e15690f196b51000020,Is casimersen effective for the treatment of Duchenne muscular dystrophy?,yesno,,"Here is my attempt at an Elasticsearch query string for the question ""Is casimersen effective for the treatment of Duchenne muscular dystrophy?"":

##
(casimersen OR kynmobi) AND (""duchenne muscular dystrophy"" OR DMD) AND (effective OR effectiveness OR efficacy OR ""treatment outcome"" OR ""clinical benefit"" OR ""therapeutic benefit"") AND (treatment OR therapy OR ""management"")
##

The key components are:

1. Casimersen and its brand name Kynmobi, connected by OR to capture either term.

2. Duchenne muscular dystrophy and its abbreviation DMD, in quotes and connected by OR.

3. Terms related to effectiveness like effective, effectiveness, efficacy, ""treatment outcome"", ""clinical benefit"", ""therapeutic benefit"", connected by OR to capture various ways effectiveness may be discussed.

4. General treatment terms like treatment, therapy, management, connected by OR.

The main clauses are connected with AND to require all the key concepts - the drug, the disease, effectiveness, and treatment.

The query aims to find documents discussing the effectiveness of casimersen for treating DMD specifically. It includes key synonyms to improve recall while still focusing on the core concepts to maintain precision and relevance to the original question.

Let me know if you would like me to modify or expand the query further.","{'query': {'query_string': {'query': '(casimersen OR kynmobi) AND (""duchenne muscular dystrophy"" OR DMD) AND (effective OR effectiveness OR efficacy OR ""treatment outcome"" OR ""clinical benefit"" OR ""therapeutic benefit"") AND (treatment OR therapy OR ""management"")'}}, 'size': 50}",,"['33861387', '36401026', '34097287', '35213020', '30171533']",[],[],[],0.2,1.0,0.33333333333333337
63f02ceaf36125a426000015,Which are the targets of Tirzepatide?,summary,,"Here is my attempt at an Elasticsearch query string for the question ""Which are the targets of Tirzepatide?"":

##
(tirzepatide OR ""ly3298176"" OR ""ly 3298176"") AND (target OR targets OR receptor OR receptors) AND (""glp-1"" OR ""glp 1"" OR ""glucagon-like peptide-1"" OR ""glucagon like peptide 1"" OR ""glucagon-like peptide 1"" OR ""glp-1 receptor"" OR ""glp 1 receptor"" OR ""glp-1r"") AND (""gip"" OR ""glucose-dependent insulinotropic polypeptide"" OR ""glucose dependent insulinotropic polypeptide"" OR ""gastric inhibitory polypeptide"" OR ""gip receptor"" OR ""gipr"")
##

The key components are:
1. Tirzepatide and its alternate name/identifier LY3298176
2. Terms related to molecular targets like ""target"", ""receptor""
3. The two main known targets of tirzepatide:
   - GLP-1 (glucagon-like peptide-1) and its receptor (GLP-1R)
   - GIP (glucose-dependent insulinotropic polypeptide, also known as gastric inhibitory polypeptide) and its receptor (GIPR)

I included various synonyms and alternate spellings for GLP-1 and GIP to maximize recall of relevant documents. The AND operators ensure that the results mention tirzepatide along with its targets. The query is fairly specific since it focuses on the known molecular targets rather than broader physiological effects.

Let me know if you would like me to modify or expand the query further. I aimed to balance precision and recall based on the specificity of the question.","{'query': {'query_string': {'query': '(tirzepatide OR ""ly3298176"" OR ""ly 3298176"") AND (target OR targets OR receptor OR receptors) AND (""glp-1"" OR ""glp 1"" OR ""glucagon-like peptide-1"" OR ""glucagon like peptide 1"" OR ""glucagon-like peptide 1"" OR ""glp-1 receptor"" OR ""glp 1 receptor"" OR ""glp-1r"") AND (""gip"" OR ""glucose-dependent insulinotropic polypeptide"" OR ""glucose dependent insulinotropic polypeptide"" OR ""gastric inhibitory polypeptide"" OR ""gip receptor"" OR ""gipr"")'}}, 'size': 50}",,"['37551549', '36462999', '36289848', '36751934', '36634066', '36157450', '37800107', '37279858', '35065096', '35872608', '37824027', '34446852', '34819089', '35217653', '35333651', '30293770', '36313764', '36004653', '37086147', '37070418', '32360365', '35745639', '33778934', '37792556', '37331253', '36620987', '37092144', '35651477', '37897727', '33325008', '36639119', '36927378', '36849212', '35830001', '37498367', '37456095', '37591245', '32291277', '37430117', '36909312', '36700380', '35593668', '36598526', '37308724', '35674880', '32519795', '35767712', '37526853', '37947489', '37940101']",[],[],[],0.0,0.0,0.0
640e2616201352f04a00002a,Is medical hydrology the same as Spa therapy?,yesno,,"Here is my attempt at an Elasticsearch query string for the question ""Is medical hydrology the same as Spa therapy?"":

##
(""medical hydrology"" OR ""health resort medicine"" OR balneology OR balneotherapy OR hydrotherapy) AND (""spa therapy"" OR ""spa treatment"" OR ""spa medicine"") AND (same OR equivalent OR synonymous OR ""synonymous with"" OR ""equivalent to"" OR ""same as"" OR ""identical to"" OR ""no difference"" OR ""no different"")
##

The key components are:
1. ""medical hydrology"" and its synonyms/related terms like ""health resort medicine"", balneology, balneotherapy, hydrotherapy
2. ""spa therapy"" and related terms like ""spa treatment"", ""spa medicine""
3. Terms related to the concept of being the same or equivalent, like same, equivalent, synonymous, ""identical to"", ""no difference"", etc.

The query aims to find documents that mention both medical hydrology (or its synonyms) and spa therapy (or related terms), along with language indicating whether they are considered the same or equivalent. The AND operator ensures all three main concepts are present.

I included a range of synonyms and related terms to improve recall, but tried not to stray too far from the core concepts to maintain precision. The double quotes around phrases ensure they are searched as a unit.

Let me know if you would like me to modify or expand the query further. I'm happy to refine it based on your feedback.","{'query': {'query_string': {'query': '(""medical hydrology"" OR ""health resort medicine"" OR balneology OR balneotherapy OR hydrotherapy) AND (""spa therapy"" OR ""spa treatment"" OR ""spa medicine"") AND (same OR equivalent OR synonymous OR ""synonymous with"" OR ""equivalent to"" OR ""same as"" OR ""identical to"" OR ""no difference"" OR ""no different"")'}}, 'size': 50}",,"['15004446', '7644874', '37438576', '19771135', '18829219', '29947999', '21563003', '26158921', '29455296', '25862243', '28471579', '17943920', '9828878', '24135621', '31649376', '16011060', '16449365', '30046586', '11209546', '25534519', '36380257', '12110784', '28011998', '27225736', '37735793', '18313346', '36538403', '15689050', '31209599', '26607275', '2011839', '35606192', '6157259', '15115681', '24373369', '25605408', '17431728', '6672531', '28936572', '33740137', '34035862', '3374829', '23007254']",[],[],[],0.0,0.0,0.0
